NAME	TITLE	SCORE	
LMO1	LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]	2.1853092	
BRME1	break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]	2.1840987	
RUNDC3A-AS1	RUNDC3A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51344]	2.1483212	
PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	2.1459	
KLK6	kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]	2.13622	
TRPV2	transient receptor potential cation channel subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:18082]	2.0961735	
EXTL1	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]	2.090987	
FER1L4	fer-1 like family member 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15801]	2.0882335	
LYPD5	LY6/PLAUR domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26397]	2.0790424	
PPP1R3B-DT	PPP1R3B divergent transcript [Source:HGNC Symbol;Acc:HGNC:56150]	2.0615637	
SIX3	SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]	2.0558727	
CEACAM1	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]	2.0461612	
ADGRG1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	2.0390499	
LINC02985	long intergenic non-protein coding RNA 2985 [Source:HGNC Symbol;Acc:HGNC:56073]	2.0311947	
TSPEAR-AS2	TSPEAR antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16428]	2.018522	
MIR130AHG	MIR130A host gene [Source:HGNC Symbol;Acc:HGNC:55966]	2.0142436	
ELF3-AS1	ELF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40211]	2.0061023	
OPCML	opioid binding protein/cell adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:8143]	1.9982067	
MSH5	mutS homolog 5 [Source:HGNC Symbol;Acc:HGNC:7328]	1.9698589	
MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	1.9609011	
FMO4	flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]	1.9595903	
ERN2	endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]	1.9464678	
TICAM1	TIR domain containing adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	1.9318541	
EID3	EP300 interacting inhibitor of differentiation 3 [Source:HGNC Symbol;Acc:HGNC:32961]	1.9196111	
AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	1.919137	
SLC9A3-AS1	SLC9A3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40550]	1.9122893	
OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	1.9063089	
BCHE	butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]	1.9047493	
ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	1.8924042	
MT-TY	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]	1.8872894	
SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	1.884821	
CTCFL	CCCTC-binding factor like [Source:HGNC Symbol;Acc:HGNC:16234]	1.8734617	
TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	1.8698486	
COX20	cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970]	1.8597877	
IKZF1	IKAROS family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13176]	1.8562576	
ZNF662	zinc finger protein 662 [Source:HGNC Symbol;Acc:HGNC:31930]	1.8479471	
PJVK	pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]	1.8466684	
LINC00540	long intergenic non-protein coding RNA 540 [Source:HGNC Symbol;Acc:HGNC:43673]	1.8367208	
PCDH8	protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]	1.8311937	
CLCNKA	chloride voltage-gated channel Ka [Source:HGNC Symbol;Acc:HGNC:2026]	1.8294686	
FNDC5	fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20240]	1.8199468	
C8orf48	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]	1.8192353	
FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	1.8182877	
VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	1.8109852	
C10orf88B	C10orf88B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:44080]	1.8034413	
SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	1.8020688	
GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:27168]	1.7997661	
FEZF1	FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]	1.7966591	
DEPP1	DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355]	1.7950919	
SUGT1P4-STRA6LP	SUGT1P4-STRA6LP readthrough [Source:HGNC Symbol;Acc:HGNC:53834]	1.7570807	
CES3	carboxylesterase 3 [Source:HGNC Symbol;Acc:HGNC:1865]	1.7544703	
SULT1C4	sulfotransferase family 1C member 4 [Source:HGNC Symbol;Acc:HGNC:11457]	1.7508935	
SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	1.7494595	
PCDHB18P	protocadherin beta 18 pseudogene [Source:HGNC Symbol;Acc:HGNC:14548]	1.7443367	
TLCD2	TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522]	1.7418168	
TRIM38	tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059]	1.7407933	
MADCAM1	mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]	1.7390212	
ZNF441	zinc finger protein 441 [Source:HGNC Symbol;Acc:HGNC:20875]	1.7371688	
IQSEC3	IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193]	1.7350767	
LINC02901	long intergenic non-protein coding RNA 2901 [Source:HGNC Symbol;Acc:HGNC:21179]	1.7257946	
PDPK2P	3-phosphoinositide dependent protein kinase 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:49897]	1.7195995	
PTPRN2	protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]	1.715486	
ENSG00000246792	novel transcript	1.7131006	
P2RX2	purinergic receptor P2X 2 [Source:HGNC Symbol;Acc:HGNC:15459]	1.7127305	
GBX2	gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]	1.7078664	
HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	1.7026728	
PCDHA8	protocadherin alpha 8 [Source:HGNC Symbol;Acc:HGNC:8674]	1.6911131	
OTOG	otogelin [Source:HGNC Symbol;Acc:HGNC:8516]	1.6906259	
MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	1.687235	
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:31]	1.6857601	
OLIG3	oligodendrocyte transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:18003]	1.6811529	
KLHL14	kelch like family member 14 [Source:HGNC Symbol;Acc:HGNC:29266]	1.6806529	
NIPAL2	NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854]	1.6801916	
F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	1.6768785	
FLRT3	fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]	1.676099	
CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	1.6667215	
ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	1.6651525	
GSTM5	glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:HGNC:4637]	1.6604121	
SIMC1P1	SIMC1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56818]	1.6529026	
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	1.6490002	
MACROD2	mono-ADP ribosylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:16126]	1.646244	
SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	1.6269217	
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]	1.6245381	
BNIPL	BCL2 interacting protein like [Source:HGNC Symbol;Acc:HGNC:16976]	1.6204735	
WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	1.6202543	
PCDHGA6	protocadherin gamma subfamily A, 6 [Source:HGNC Symbol;Acc:HGNC:8704]	1.6198888	
MMP25-AS1	MMP25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51372]	1.6166681	
GFY	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	1.6153114	
KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	1.6094396	
SULT1C2	sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]	1.6028181	
ZSCAN1	zinc finger and SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23712]	1.5983462	
KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	1.5971898	
DENND6B	DENN domain containing 6B [Source:HGNC Symbol;Acc:HGNC:32690]	1.5932773	
KEL	Kell metallo-endopeptidase (Kell blood group) [Source:HGNC Symbol;Acc:HGNC:6308]	1.5923741	
LINC00458	long intergenic non-protein coding RNA 458 [Source:HGNC Symbol;Acc:HGNC:42807]	1.5866135	
FBXL13	F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]	1.5785918	
DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	1.5743512	
CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	1.5686798	
NPIPA5	nuclear pore complex interacting protein family member A5 [Source:HGNC Symbol;Acc:HGNC:41980]	1.5686022	
PXDC1	PX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21361]	1.56741	
IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	1.567016	
EIF4E1B	eukaryotic translation initiation factor 4E family member 1B [Source:HGNC Symbol;Acc:HGNC:33179]	1.5645034	
IRX1	iroquois homeobox 1 [Source:HGNC Symbol;Acc:HGNC:14358]	1.5602609	
GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	1.5491395	
CPNE5	copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]	1.548689	
CTSF	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	1.5466293	
ARL11	ADP ribosylation factor like GTPase 11 [Source:HGNC Symbol;Acc:HGNC:24046]	1.5434303	
PEG13	paternally expressed 13 [Source:HGNC Symbol;Acc:HGNC:19969]	1.5426418	
GUSBP18	GUSB pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:55770]	1.5393056	
DGKB	diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850]	1.5372459	
SEPTIN7P13	septin 7 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:55092]	1.5370219	
AIPL1	aryl hydrocarbon receptor interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:359]	1.5302589	
ZCCHC12	zinc finger CCHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:27273]	1.5262468	
GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	1.5257927	
NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	1.5219525	
SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	1.5151936	
RBPJL	recombination signal binding protein for immunoglobulin kappa J region like [Source:HGNC Symbol;Acc:HGNC:13761]	1.5118016	
LINC00882	long intergenic non-protein coding RNA 882 [Source:HGNC Symbol;Acc:HGNC:48568]	1.509711	
SPATA31H1	SPATA31 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:25275]	1.5070218	
DLK1	delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]	1.5046765	
SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	1.501506	
NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	1.4975336	
RHBDL2	rhomboid like 2 [Source:HGNC Symbol;Acc:HGNC:16083]	1.4831514	
GGACT	gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100]	1.4819694	
LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	1.478514	
MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	1.4779967	
LINC02021	long intergenic non-protein coding RNA 2021 [Source:HGNC Symbol;Acc:HGNC:52856]	1.4779125	
TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	1.4778943	
ZNF436	zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814]	1.475868	
TDRD5	tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614]	1.4749985	
KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	1.4715677	
OPTC	opticin [Source:HGNC Symbol;Acc:HGNC:8158]	1.4714884	
ATP6V0A4	ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866]	1.4714715	
TRAPPC12-AS1	TRAPPC12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41046]	1.4713777	
SORCS2	sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	1.4702985	
HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	1.4568771	
LINC01876	long intergenic non-protein coding RNA 1876 [Source:HGNC Symbol;Acc:HGNC:52695]	1.453677	
NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]	1.4492373	
CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	1.444272	
PCDH11Y	protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]	1.4420953	
PABPC4L	poly(A) binding protein cytoplasmic 4 like [Source:HGNC Symbol;Acc:HGNC:31955]	1.4382868	
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267]	1.4369079	
SMIM24	small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]	1.4366336	
ODAD1	outer dynein arm docking complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:26560]	1.4300244	
ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	1.4280291	
CCT6B	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	1.4252654	
DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]	1.4234145	
TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	1.4217759	
TBC1D19	TBC1 domain family member 19 [Source:HGNC Symbol;Acc:HGNC:25624]	1.4199127	
APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	1.411255	
ERVH48-1	endogenous retrovirus group 48 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:17216]	1.4044358	
SLCO1A2	solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]	1.4034026	
AMZ1	archaelysin family metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:22231]	1.4015013	
C22orf15	chromosome 22 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:15558]	1.3972296	
CLCNKB	chloride voltage-gated channel Kb [Source:HGNC Symbol;Acc:HGNC:2027]	1.3946671	
CAPN13	calpain 13 [Source:HGNC Symbol;Acc:HGNC:16663]	1.3893652	
WWC2-AS2	WWC2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:26390]	1.3844296	
HAAO	3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]	1.3797203	
C2CD6	C2 calcium dependent domain containing 6 [Source:HGNC Symbol;Acc:HGNC:14438]	1.3778021	
ERFE	erythroferrone [Source:HGNC Symbol;Acc:HGNC:26727]	1.3747747	
BCL2L14	BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]	1.3715743	
AKR1E2	aldo-keto reductase family 1 member E2 [Source:HGNC Symbol;Acc:HGNC:23437]	1.370302	
TMEM220-AS1	TMEM220 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44357]	1.3697866	
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]	1.3684428	
SMG1P7	SMG1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:49864]	1.3673985	
DPEP1	dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]	1.3659692	
ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:20279]	1.3658863	
MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	1.364428	
PDCD6IPP2	PDCD6IP pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49873]	1.3603213	
DPY19L1P1	DPY19L1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:22395]	1.3579079	
RFTN2	raftlin family member 2 [Source:HGNC Symbol;Acc:HGNC:26402]	1.3570755	
PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	1.3567965	
NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	1.353193	
LINC02575	long intergenic non-protein coding RNA 2575 [Source:HGNC Symbol;Acc:HGNC:53747]	1.3472283	
FIBCD1	fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922]	1.3442935	
CCDC191	coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272]	1.3429704	
TTLL6	tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:HGNC:26664]	1.3427013	
NPIPB4	nuclear pore complex interacting protein family member B4 [Source:HGNC Symbol;Acc:HGNC:41985]	1.3402557	
LINC02894	long intergenic non-protein coding RNA 2894 [Source:HGNC Symbol;Acc:HGNC:55364]	1.3398013	
ZFHX3	zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]	1.3397548	
SBK3	SH3 domain binding kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:44121]	1.3364371	
LEMD1-DT	LEMD1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27631]	1.3352981	
ZNF442	zinc finger protein 442 [Source:HGNC Symbol;Acc:HGNC:20877]	1.3329697	
BAZ1A-AS1	BAZ1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55440]	1.3319644	
DUSP19	dual specificity phosphatase 19 [Source:HGNC Symbol;Acc:HGNC:18894]	1.3289366	
AFDN-DT	AFDN divergent transcript [Source:HGNC Symbol;Acc:HGNC:21236]	1.3282083	
