ID,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,MSigDB_gene_sets
HP_ABNORMAL_MITOCHONDRIAL_MORPHOLOGY,21,-0.7582260454868878,-2.015627314742884,1.9901402877789908e-4,0.05347580662161695,0.05277557207591694,326,"tags=10%, list=2%, signal=9%",100303755/79784,C5
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN,21,-0.7576537149633509,-2.0111539272763155,6.489555871020077e-4,0.02500248889216644,0.023381031439608225,349,"tags=29%, list=2%, signal=28%",2878/874/4739/239/301/2012,C2
GOBP_MITOCHONDRION_MORPHOGENESIS,20,-0.7542920985795194,-1.9827527422350681,7.258649891120251e-4,0.13758539165321612,0.1357837910733325,166,"tags=20%, list=1%, signal=20%",81892/581/55022/79784,C5
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING,15,-0.7521113889441774,-1.8527852448555726,0.004082222463061305,0.3404198157414916,0.3359622165002178,2252,"tags=73%, list=16%, signal=62%",10607/84294/161424/55720/10799/29777/10171/8602/27340/23246/23212,C5
GOMF_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,17,-0.7326183087422842,-1.8544326446606803,0.003967054556445519,0.33859977420014403,0.3341660073429402,2084,"tags=35%, list=15%, signal=30%",4072/29091/6282/302/11187/301,C5
REACTOME_CHOLESTEROL_BIOSYNTHESIS,23,-0.7309231142016145,-1.9808869118878747,0.0010140702243630372,0.03494007813699635,0.0326741497195279,3133,"tags=78%, list=22%, signal=61%",6307/2224/3930/10654/3156/3157/6713/10682/39/1718/50814/1717/3422/51478/4047/4597/4598/1595,C2
GOBP_REGULATION_OF_MYELOID_CELL_APOPTOTIC_PROCESS,17,-0.7307058511360194,-1.849591755790901,0.004080398972343962,0.3404198157414916,0.3359622165002178,1135,"tags=29%, list=8%, signal=27%",4254/3665/596/4282/301,C5
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,42,-0.7305313786724735,-2.249666332368926,2.2807768514652937e-6,2.7616949418599756e-4,2.5825939385764907e-4,1200,"tags=38%, list=8%, signal=35%",85236/8349/4609/3570/8338/8355/8357/8294/8970/8341/8339/688/3017/8365/1026/8334,C2
GOBP_RNA_5_END_PROCESSING,21,-0.7295242087507287,-1.9393278965772316,0.0012707522033203525,0.18438614470178313,0.1819717155154745,3586,"tags=86%, list=25%, signal=64%",10556/6741/10940/3028/10557/11102/54931/10248/10607/87178/51367/9692/161424/10799/138716/29777/8602/27340,C5
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE,51,-0.7212233865042423,-2.3069407795222374,3.4476294177932537e-7,7.690028143477795e-5,7.191315655397009e-5,1249,"tags=33%, list=9%, signal=30%",2966/5441/85236/84172/9533/8349/10849/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR,22,-0.7181725864655506,-1.9293202434823327,0.0011298962169400736,0.17441270327447306,0.17212887049555164,3047,"tags=77%, list=22%, signal=61%",90441/23195/10412/23076/54663/117246/80135/26155/51154/51388/23481/8568/3692/10969/23246/23212/56342,C5
GOBP_TRNA_5_END_PROCESSING,15,-0.7160893404993431,-1.7640468999386667,0.009898486326361042,0.4798793751804598,0.4735956342235827,3586,"tags=80%, list=25%, signal=60%",10556/6741/10940/3028/10557/11102/54931/10248/51367/9692/10799/138716,C5
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN,19,-0.7150877290805483,-1.8562077290357897,0.004166666666666667,0.0975598526703499,0.09123291654550741,464,"tags=58%, list=3%, signal=56%",4848/4869/25904/9125/5325/7157/55571/4849/7832/10769/1263,C2
REACTOME_HDACS_DEACETYLATE_HISTONES,48,-0.7129317620708452,-2.255193240150777,9.82576982137433e-7,1.601600480884016e-4,1.4977337399787191e-4,366,"tags=33%, list=3%, signal=33%",85236/8349/25855/8338/8355/8357/8294/8970/8969/8341/8339/92815/3017/8365/8334/2874,C2
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,46,-0.7126349695719205,-2.2354009778329056,1.7790637456935846e-6,2.5782292923552517e-4,2.4110263743368324e-4,1400,"tags=35%, list=10%, signal=31%",10524/85236/5925/8349/3006/8338/8900/9134/8294/8970/8341/8339/3017/8365/1026/8334,C2
GOMF_HYALURONIC_ACID_BINDING,16,-0.7117431822638645,-1.7758804678287439,0.008410522415709522,0.46937184712286606,0.46322569612677067,958,"tags=50%, list=7%, signal=47%",26032/63827/140578/143903/960/57214/176/7130,C5
GOMF_MICROFILAMENT_MOTOR_ACTIVITY,22,-0.7089174302425951,-1.904456915928412,0.0017157683294275192,0.2183841970174851,0.21552458313510595,209,"tags=14%, list=1%, signal=13%",4621/4620/79784,C5
GOBP_PSEUDOURIDINE_SYNTHESIS,18,-0.708710802248006,-1.8184760874498858,0.00526720492118416,0.38187329273715637,0.3768728843553466,3831,"tags=89%, list=27%, signal=65%",1736/92345/285367/150962/55651/26995/54433/54517/115939/113000/27079/84881/80324/55505/83480/126789,C5
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,44,-0.7070107891127431,-2.198091764962206,6.253515942988838e-6,6.115853064561565e-4,5.719228729558206e-4,1204,"tags=30%, list=9%, signal=27%",201254/85236/8349/401541/8338/378708/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,33,-0.7059565495652133,-2.0663791773114677,6.160906783051831e-5,0.004211277894608656,0.003938168767095101,366,"tags=30%, list=3%, signal=30%",85236/8349/8338/8294/8970/8341/8339/3017/8365/8334,C2
GOMF_SNORNA_BINDING,32,-0.6987323957666971,-2.032739953913812,1.7496771567903808e-4,0.048822722201977746,0.04818341708699664,3335,"tags=75%, list=24%, signal=57%",9221/55651/27042/9790/84309/55127/55813/11164/54433/4809/10528/283927/10607/10885/705/9188/55720/92856/55505/55272/8602/57647/9136/3669,C5
WANG_METHYLATED_IN_BREAST_CANCER,29,-0.697598541802325,-1.9863126158091304,9.950248756218905e-4,0.03456488051545551,0.03232328435475771,1854,"tags=45%, list=13%, signal=39%",8140/3624/8877/1316/7378/9263/23764/1969/2152/1839/8061/857/9518,C2
GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,15,-0.6975715624935396,-1.718429367268635,0.014775477764531628,0.5794383307117673,0.5718509232110619,852,"tags=20%, list=6%, signal=19%",8829/10769/301,C5
GOBP_VOCALIZATION_BEHAVIOR,15,-0.6968749024081707,-1.7167131832753795,0.014956107077056465,0.5833685851830358,0.5757297132888404,267,"tags=20%, list=2%, signal=20%",57502/22829/79784,C5
GOCC_PROTEASOME_REGULATORY_PARTICLE,19,-0.693416508457751,-1.8013019387398237,0.006415049785509072,0.42779269333065684,0.4221909971395594,3999,"tags=100%, list=28%, signal=72%",5707/5706/5708/5718/5705/5717/5700/5719/5713/5714/9861/5709/5702/10213/5701/5704/11047/5715,C5
GOBP_MYELOID_CELL_APOPTOTIC_PROCESS,21,-0.6925649144612956,-1.8410772976340566,0.004181184668989547,0.3444180071513616,0.3399080539219503,1135,"tags=24%, list=8%, signal=22%",4254/3665/596/4282/301,C5
GOCC_PHAGOCYTIC_CUP,20,-0.6925198726483335,-1.8203765877059737,0.0048794257601419465,0.3649508648436064,0.36017204580016843,168,"tags=20%, list=1%, signal=20%",23616/57192/3936/301,C5
GOCC_ENDOLYSOSOME_MEMBRANE,15,-0.69248416927775025,-1.7058968525061278,0.016184386402225352,0.6052459966399223,0.5973206527831625,2830,"tags=53%, list=20%, signal=43%",23274/1175/3949/1211/219931/10058/255738/7098,C5
MALTA_CURATED_STEMNESS_MARKERS,17,-0.6898079709461901,-1.7436771768908248,0.012227598364652488,0.20811470630280016,0.19461808430740488,1047,"tags=29%, list=7%, signal=27%",4609/9429/9314/2034/960,C2
HP_HETEROCHROMIA_IRIDIS,15,-0.6895088620380064,-1.6985673459546473,0.017484917452404176,0.620292867905089,0.6121704940317625,8,"tags=13%, list=0%, signal=13%",4254/4286,C5
DALESSIO_TSA_RESPONSE,16,-0.6849766017421998,-1.705682631014233,0.016819964088094105,0.2536761843606506,0.23722481660113995,704,"tags=31%, list=5%, signal=30%",2355/23237/8339/56155/301,C2
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,38,-0.6829490806792715,-2.058182839343289,2.101484460582047e-4,0.010861086760910629,0.010156725281246993,1554,"tags=37%, list=11%, signal=33%",5439/5438/5441/85236/5436/8349/8338/8294/8970/8341/8339/3017/8365/8334,C2
GOBP_MEMBRANE_RAFT_ORGANIZATION,19,-0.6786737481846383,-1.7630043753873175,0.008973198472982015,0.4701709016320973,0.4640142874825385,1089,"tags=32%, list=8%, signal=29%",302/23180/6281/79152/857/858,C5
GOCC_90S_PRERIBOSOME,28,-0.6757295432569365,-1.9112125096038333,9.33184023889511e-4,0.1611964307932953,0.15908565740592617,3422,"tags=86%, list=24%, signal=65%",51096/26156/9790/55127/55813/10199/153443/27341/26155/10607/10885/161424/23481/84916/79050/85395/92856/55272/88745/8602/27340/65083/23246/5822,C5
MANN_RESPONSE_TO_AMIFOSTINE_UP,17,-0.6742257861132828,-1.7042889685725502,0.016165935261243013,0.2482291073809706,0.23213099259565195,2619,"tags=47%, list=19%, signal=38%",1967/4832/8841/4738/1371/4609/1026/9518,C2
BIOCARTA_PROTEASOME_PATHWAY,19,-0.6729508699826701,-1.7468298718107171,0.011448598130841122,0.19904361950565333,0.18613527419557008,4177,"tags=84%, list=30%, signal=59%",6184/5684/5685/5694/5688/7319/5692/5690/5689/5695/5693/5682/5691/5686/5687/5683,C2
HP_OSTEOPETROSIS,15,-0.6719350534144858,-1.6552752301959917,0.023662439940753587,0.6657462605232299,0.6570287009436699,1871,"tags=33%, list=13%, signal=29%",8792/1718/9842/760/4286,C5
HP_BARREL_SHAPED_CHEST,20,-0.6687779851727642,-1.7579680160310593,0.00834744737478829,0.46937184712286606,0.46322569612677067,566,"tags=20%, list=4%, signal=19%",3265/4621/176/4982,C5
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,52,-0.6677017354700169,-2.1418517855558474,6.819530227912497e-6,6.282862849107209e-4,5.875407621988685e-4,1220,"tags=33%, list=9%, signal=30%",5441/85236/10514/84172/9533/8349/10849/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,21,-0.6650596796509072,-1.7679588616317226,0.007870465259274442,0.4604856891615813,0.45445589722907265,420,"tags=19%, list=3%, signal=19%",7098/6988/4057/7130,C5
AMIT_EGF_RESPONSE_120_MCF10A,36,-0.6643117334259943,-1.9808065718463872,7.473841554559044e-4,0.027542730876714112,0.02575653405301126,1500,"tags=36%, list=11%, signal=32%",220/581/10045/79693/6737/23764/1969/644096/3976/23612/1839/8061/9518,C2
HALLMARK_MYC_TARGETS_V2,56,-0.6639879082081741,-2.161377680921069,6.103807844530921e-6,1.0173013074218203e-4,8.566747851973223e-5,3534,"tags=80%, list=25%, signal=61%",3329/7374/9221/6652/8886/23160/3336/10199/26354/10528/5245/6832/54663/51154/4174/1019/6949/5036/79077/4173/51388/23082/705/23481/79050/80324/92856/2193/64216/6723/10171/9238/83743/29078/10514/7965/4609/27340/9136/1844/56915/23223/10244/51491/56342,Hallmark
GOBP_PURINE_RIBONUCLEOSIDE_METABOLIC_PROCESS,17,-0.6620631036738595,-1.6758404992442852,0.019457458062566116,0.636391632644497,0.6280584548221363,598,"tags=29%, list=4%, signal=28%",161823/4860/56952/27232/4907,C5
GOBP_HYALURONAN_METABOLIC_PROCESS,19,-0.661358724369047,-1.7180247915615434,0.013066236372938722,0.5542867589477447,0.5470286966320954,1384,"tags=42%, list=10%, signal=38%",3038/4790/3373/7040/23553/960/57214/7130,C5
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,66,-0.66098679711181,-2.213014131351933,8.01089437973365e-7,1.385004589095052e-4,1.2951844906840048e-4,1396,"tags=29%, list=10%, signal=26%",246184/4790/85236/8349/25906/3725/8338/8900/8355/8357/8294/1032/8970/8341/8339/3017/8365/1026/8334,C2
BIOCARTA_CELLCYCLE_PATHWAY,20,-0.6600070062850486,-1.7335818489210315,0.012441556383231635,0.2102509884200092,0.19661582459485225,2486,"tags=45%, list=18%, signal=37%",1869/1019/993/898/896/5925/8900/1032/1026,C2
HORTON_SREBF_TARGETS,23,-0.6595513842756,-1.7874611972781151,0.006422444754299235,0.13277229692058615,0.12416176893420602,3106,"tags=83%, list=22%, signal=65%",31/134429/47/2224/230/10654/3949/51109/3157/2194/6713/55902/3638/3422/51478/4047/4199/1595/255738,C2
GOBP_MITOCHONDRIAL_RNA_PROCESSING,20,-0.6570611097041555,-1.7271687182397124,0.010847649003951932,0.5080653701495902,0.5014125500029037,3510,"tags=75%, list=25%, signal=56%",51654/22868/3028/60528/10922/54931/6832/54802/25821/87178/9692/79072/84881/80324/9238,C5
PODAR_RESPONSE_TO_ADAPHOSTIN_DN,15,-0.65661877714018,-1.6093656893835284,0.03446422813742701,0.3799348106820292,0.35529533847093714,4121,"tags=80%, list=29%, signal=57%",2736/71/7374/6307/899/23076/6319/898/3638/1717/3422/7037,C2
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,23,-0.6555777839562063,-1.7760353658535624,0.005773425137920712,0.39891618452966443,0.39369260940487905,3455,"tags=61%, list=24%, signal=46%",84135/84128/468/23160/4691/55127/25926/64768/56919/11137/2064/55646/646/387496,C5
REACTOME_AMYLOID_FIBER_FORMATION,58,-0.6555310186391157,-2.146080812733865,6.25448766331166e-6,6.115853064561565e-4,5.719228729558206e-4,366,"tags=29%, list=3%, signal=29%",6622/85236/55851/8349/8338/8355/8357/8294/8970/8341/8339/6406/4057/3017/8365/8334/796,C2
GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT,25,-0.6553396210260921,-1.8091754889405696,0.0037166497057652317,0.32883284896739945,0.3245269743082812,3925,"tags=80%, list=28%, signal=58%",54460/55168/64969/51023/51650/64965/51021/60488/55173/64968/51081/56945/64960/64949/64963/65993/51116/28973/28957/6183,C5
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,68,-0.654047872825745,-2.199235143185083,7.514383980345312e-7,1.3846069264653667e-4,1.2948126172082427e-4,1554,"tags=24%, list=11%, signal=21%",5439/5438/5441/85236/5436/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,69,-0.6539445161343145,-2.20457537373512,3.0582911062703936e-7,7.556549364537967e-5,7.06649322110366e-5,1249,"tags=26%, list=9%, signal=24%",2966/5441/85236/84172/9533/8349/23378/10849/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
PAL_PRMT5_TARGETS_DN,18,-0.6535513885694093,-1.6765576414072318,0.019517225574822397,0.27756376505401786,0.259563243692004,574,"tags=22%, list=4%, signal=21%",3491/6939/5054/1268,C2
RAHMAN_TP53_TARGETS_PHOSPHORYLATED,20,-0.6534648083226753,-1.7163980379438488,0.013907599651319439,0.2241728015532724,0.20963478250616494,3973,"tags=65%, list=28%, signal=47%",10856/5694/5093/2950/908/51699/3191/1738/10935/5464/3419/4830/301,C2
GOBP_REGULATION_OF_ANOIKIS,18,-0.6525726686256342,-1.674431643280929,0.01914648212226067,0.636391632644497,0.6280584548221363,1658,"tags=33%, list=12%, signal=29%",51651/150094/10514/25855/596/857,C5
GOBP_TYPE_2_IMMUNE_RESPONSE,16,-0.6513958861961733,-1.6253070769716467,0.029010744720266764,0.7232747523901559,0.7138038907117183,9,"tags=19%, list=0%, signal=19%",975/3566/301,C5
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,36,-0.6504175091483763,-1.9438507379090932,5.106977191253737e-4,0.1089738809486643,0.10754693143934341,3163,"tags=72%, list=22%, signal=56%",27042/9790/55127/55813/25983/57050/10607/90121/79954/64963/84294/161424/705/55720/10799/84916/85395/29777/10171/88745/8602/57647/27340/9277/23212/5822,C5
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,58,-0.6481235504432316,-2.1218302053421274,9.635474273139e-6,8.333702034604711e-4,7.793246109209095e-4,3971,"tags=79%, list=28%, signal=57%",2091/25879/1736/51504/22984/114049/84135/84128/51096/55651/27042/55226/23160/9790/55127/55813/10199/25926/54433/4809/51118/10528/27341/115939/27292/57050/10607/10885/84916/79050/92856/55505/10436/10171/55272/88745/56902/54555/8602/57647/27340/65083/9136/9277/10813/5822,C2
GOBP_REGULATION_OF_ENDOCRINE_PROCESS,16,-0.6471236051608598,-1.6146472482121268,0.031085587254538718,0.7436597274154585,0.7339219363603973,1839,"tags=44%, list=13%, signal=38%",1407/3624/114897/5443/51083/3623/668,C5
GOCC_DNA_PACKAGING_COMPLEX,67,-0.6470340319674714,-2.1746916524008357,2.1599380033174863e-6,0.0011193107295763116,0.001104654007410943,495,"tags=21%, list=4%, signal=20%",3006/8338/3662/8355/8357/8294/8970/8969/8341/8339/92815/3017/8365/8334,C5
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION,15,-0.6463609444460455,-1.5922748123807902,0.036631624580036846,0.7865898313960862,0.7762898956300451,3632,"tags=80%, list=26%, signal=60%",285367/51654/22868/81554/26995/51335/54931/79072/84881/708/28958/84769,C5
OLSSON_E2F3_TARGETS_DN,30,-0.6449627061428082,-1.8506984536811666,0.0026986651245723098,0.06973745608498444,0.06521485362012033,1839,"tags=33%, list=13%, signal=29%",3624/6241/4605/4501/7431/3006/4494/4496/92815/858,C2
REACTOME_METALLOPROTEASE_DUBS,23,-0.6441561642103061,-1.7457383548334824,0.008915367389191702,0.16810244381513584,0.15720069073395754,713,"tags=22%, list=5%, signal=21%",57559/8338/8969/92815/8334,C2
GOCC_PROTEASOME_ACCESSORY_COMPLEX,23,-0.6436890353704978,-1.7438273831233693,0.00825385964161998,0.46937184712286606,0.46322569612677067,3999,"tags=87%, list=28%, signal=62%",5707/5711/5706/5708/5718/5705/5717/5700/5719/5713/5714/9861/5709/5702/10213/5701/5704/10197/11047/5715,C5
GOCC_PRERIBOSOME,76,-0.6433634409598787,-2.2109262163849244,3.8741365381325445e-7,2.879080879967511e-4,2.8413809924972267e-4,3163,"tags=72%, list=22%, signal=56%",26156/27042/9790/90441/55127/55813/10199/23195/8780/10412/153443/4809/25983/51118/23076/10528/27341/54663/117246/80135/26155/57050/51154/10607/79954/84294/28987/51388/10885/161424/705/23481/55720/84916/79050/85395/92856/8568/10436/83732/55272/88745/8602/3692/10969/27340/65083/9136/9277/10813/23246/84946/23212/5822/56342,C5
GOBP_MATURATION_OF_SSU_RRNA,49,-0.6424532496678812,-2.0406033435245665,5.0725079021979715e-5,0.01936897096339278,0.019115345568282885,3163,"tags=71%, list=22%, signal=56%",27042/55226/9790/55127/55813/8780/25926/153443/4809/25983/115939/57050/10607/90121/79954/64963/84294/28987/10885/161424/705/55720/10799/84916/85395/29777/83732/10171/88745/8602/57647/27340/9277/23212/5822,C5
WP_CONGENITAL_GENERALIZED_LIPODYSTROPHY_CGL,17,-0.6422026084801725,-1.6233416813242112,0.0295562807096508,0.34158761060123816,0.3194350249406775,622,"tags=18%, list=4%, signal=17%",26580/857/84803,C2
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,15,-0.6421370143951696,-1.5818693918691407,0.03988295220548391,0.7949584938013831,0.7845489752746936,520,"tags=13%, list=4%, signal=13%",8651/301,C5
PID_PRL_SIGNALING_EVENTS_PATHWAY,21,-0.6409669312855996,-1.7014146907095113,0.015128777124315554,0.24103668215356888,0.22540500939077193,2226,"tags=33%, list=16%, signal=28%",890/9564/898/5876/3672/22809/1026,C2
SIMBULAN_PARP1_TARGETS_UP,24,-0.640781590384941,-1.7525793814566863,0.00809368004132943,0.15662564390481334,0.1464681824350171,1018,"tags=29%, list=7%, signal=27%",2878/64129/306/3489/203/857/1026,C2
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,15,-0.6403643609177284,-1.577502557041848,0.04078609876810809,0.7949584938013831,0.7845489752746936,4668,"tags=100%, list=33%, signal=67%",8607/10694/10856/1736/10574/92345/908/22948/10576/55164/6950/55651/7203/55505,C5
HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN,16,-0.640255866277377,-1.5943220655080272,0.03715782916193338,0.3927054363797348,0.36723776557206766,1940,"tags=69%, list=14%, signal=59%",6206/6181/6210/23400/9168/79005/27258/7431/4831/1032/960,C2
SMIRNOV_RESPONSE_TO_IR_2HR_UP,46,-0.6386846717954976,-2.0034328945661652,1.311746288302284e-4,0.007615316123048055,0.007121448847091708,1079,"tags=35%, list=8%, signal=32%",27113/27244/8870/6004/64782/8493/57103/3113/3725/23612/8061/10769/8744/688/1026/9518,C2
